"ID","Stratum","Latitude (Y)","Longitude (X)","Date","Crew","Contact Info","Size (ha)","Photo ID","Stake","% Tree","% Shrub","% Measured","Notes","Complete?"
1,Urban,45.506009,9.1530369274175634,6/21/2021,Gianlu,,0.0314,,False,100%,"65% - 70%",100,"Tappeto di edera e materia organica. Presenza di Luppolo e Rovo. Massicia presenza di giovani Prunus (Ciliegi e Susine), Sambuco, Platano e Biancospino. 5 alberi sopra i venti metri (Celtis Australis) piantumati da Aem. Vicinanza con la cisterna dell'acqua. Probabilmente ripulito nei primi anni 2000. Presenza di botole per accesso ai manometri sotterranei. Vegetazione rigogliosa.",True
2,Urban,45.506778,9.1520690408064169,6/21/2021,Gianlu,,0.0314,,False,"90% - 95%","70% - 75%",100,"Ai limiti del plot sono presenti tubi e metanodotti, gli alberi sono cresciuti anche tra questi rifiuti industriali.
Notevole presenza di Bagolari, distesa di edera leggermente fastidiosa per le piante. Buon numero di giovani alberi.",True
3,Urban,45.505268,9.1529724168584465,6/20/2021,Gianlu,,0.0314,,False,0%,0%,1,,True
4,Urban,45.507184,9.1555857412820938,6/21/2021,Gianlu,,0.0314,,False,"75% - 80%","55% - 60%",100,"Plot al confine con il muro perimetrale Est ed il sentiero. Prevalenza di robinie, presenza di Rovo, Leguminose, Ombrellifere, Parietaria, Erba secca",True
5,Urban,45.507416,9.1498076432329256,6/20/2021,Gianlu,,0.0314,,False,"15% - 20%","55% - 60%",100,"Adiacente a strada in asfalto.",True
6,Urban,45.507488,9.1501596759204062,6/21/2021,Gianlu,,0.0314,,False,"50% - 55%","55% - 60%",100,"19 giugno 2021
Plot a bordo strada, presenza di rovo, vite canadese, carota selvatica, margherita Nerigeon.",True
7,Urban,45.508391,9.1541136875870137,6/26/2021,Gianlu,,0.0314,,False,"95% - 99%","35% - 40%",100,"Terra rialzata, in prossimità di vecchi binari.
Suolo profondo.",True
8,Urban,45.505794,9.1557654563356543,6/21/2021,Gianlu,,0.0314,,False,"95% - 99%","70% - 75%",100,"Presenza di sentiero, da qui passava una piccola strada interna in epoca industriale. Massiccia presenza di giovani Aceri, prevalenza di Sambuco e Morus Alba. Due esemplari adulti di Robinia sono morti ma restano in piedi, sono nutrimento per le altre piante. Presenza di un Platano sopra i venti metri. Tra le piante erbacee: il Rovo primeggia, poi Parietaria, Fitolacca, Celidonia, Piantaggine e Fragolina di bosco.",True
9,Urban,45.507859,9.15174758390869,6/23/2021,Gianlu,,0.0314,,False,100%,"75% - 80%",100,"Binari ai margini del plot. Presenza di Edera e Rovo, Parietaria. Presente qualche giovane quercus.",True
10,Urban,45.507992,9.1498507221773568,6/23/2021,Gianlu,,0.0314,,False,"95% - 99%","75% - 80%",100,"Fitto bosco. Prevalenza di pioppo e Robinia.
Presenza di rovo ed alcune erbacee. Presenza di giovani Tigli nel sottobosco.",True
